Xi,Xa
0.0,1.55032114638189
0.0,1.44650127238584
0.0,1.60613338212577
0.0,1.39427390530128
0.0,1.82434372469954
0.0,1.29487929812577
0.025426042849525,1.64919334109533
0.0,1.3797250483428
0.0,0.833442348607859
0.0,1.37052922954836
0.0,1.75002734063741
0.00858490246862037,1.50250997739709
0.0,1.87775438584328
0.0,1.68162182711921
0.0,2.01712602893418
0.0,1.48020288118945
0.0345496088676875,1.24364601473149
0.0,2.04982111758144
0.0,2.23962609527149
0.0,1.57841552567583
0.0,1.33731694376574
0.0,1.6634385795967
0.0,1.24164123916808
0.0,1.47008415446759
0.0,1.34596963541765
0.0,1.16615135721722
0.0,1.54095546539567
0.0,1.58483555910795
0.0,1.54264648481663
0.0,1.7478192021348
0.0,1.67204549036474
0.0,3.1822466114759
0.0,1.55310458706096
0.0,1.78603260465161
0.0,1.3006478302149
0.0,2.21112913544159
0.0,1.33883314413511
0.0,1.48857046421837
0.0,1.42765357517458
0.0,1.85462211475116
0.0,1.76513805118543
0.0,1.45536670169108
0.0,1.91910052994418
0.0,2.64198499374524
0.0,1.6965853449513
0.0,1.18476972661213
0.0,1.47998120601151
0.0,1.117884243077
0.0,1.51519928676655
0.0,1.49835397844681
0.0,3.0262092940124
0.0,1.33096995087527
0.0,1.48435050322447
0.0,1.33369125736602
0.0,1.59558706745132
0.0,1.33705687592439
0.0,1.46664485542329
0.0,1.33004820514203
0.0,1.38694334160055
0.0,1.8471680638153
0.0,1.39707895246076
0.0,1.50875519161911
0.0,1.44355214445588
0.0,1.86731239451104
0.0,1.7265824893845
0.0,1.72257809560494
0.0,1.73437032066168
0.0,2.43976495299523
0.0174920289002382,1.09203915004888
0.0,1.1774940859228
0.0,1.78824818972776
0.0,2.14415014839777
0.0,1.74668240406703
0.0,0.956424538505879
0.0,1.3987019504597
0.0,1.60362136759421
0.0,1.68673372773136
0.0,1.32643185544609
0.0,1.43697210964496
0.0,1.37526698753516
