,t,Xi,Xa
0,0.0,0.0010756572885758,1.602645407545166
1,0.3877551020408163,0.01016265386078044,1.6091662244389378
2,0.7755102040816326,0.019212898410022338,1.6134741011147866
3,1.163265306122449,0.028242744670238466,1.616620994072763
4,1.5510204081632653,0.03725410212979595,1.6187016367806701
5,1.9387755102040816,0.046247264425816906,1.61969544891096
6,2.326530612244898,0.055228467676076726,1.6199609828749253
7,2.7142857142857144,0.06420988905021974,1.6202358288415388
8,3.1020408163265305,0.07319719759219823,1.6208116577449454
9,3.4897959183673466,0.08218455899509114,1.621207887637094
10,3.877551020408163,0.09117220090354533,1.6213284200094904
11,4.26530612244898,0.1001623299780762,1.621187281311035
12,4.653061224489796,0.10915913189506775,1.6209086229480225
13,5.040816326530612,0.11816876817166953,1.6207264890074913
14,5.428571428571429,0.1271965554367699,1.6207992089313525
15,5.816326530612245,0.13624182480378644,1.6208764841307535
16,6.204081632653061,0.14530458584697442,1.6207291408936246
17,6.591836734693877,0.154386943772176,1.6202390599821925
18,6.979591836734693,0.16349309941682025,1.6193991766329785
19,7.36734693877551,0.1726293492499233,1.6183134805567996
20,7.755102040816326,0.18180408537208803,1.617197015938768
21,8.142857142857142,0.19102779551550447,1.6163758814382918
22,8.53061224489796,0.20030940863657418,1.6160447866596257
23,8.918367346938775,0.20964826618336546,1.6157326620591943
24,9.306122448979592,0.21904503485938373,1.6150156342014932
25,9.693877551020408,0.2285042012824996,1.6136792470120978
26,10.081632653061224,0.23803407137548532,1.6117184206855277
27,10.46938775510204,0.247646770366015,1.6093374516852466
28,10.857142857142858,0.2573582427866644,1.6069500127436616
29,11.244897959183673,0.2671881529651973,1.6051722947173308
30,11.63265306122449,0.2771493654444107,1.604105429587436
31,12.020408163265305,0.2872412276779708,1.6028667068944982
32,12.408163265306122,0.2974678955077571,1.6008104114771287
33,12.795918367346939,0.30784017015360265,1.5976486288320777
34,13.183673469387754,0.3183754982132938,1.5934512451142357
35,13.571428571428571,0.3290979716625708,1.588645947136633
36,13.959183673469386,0.3400383278551272,1.584018222370439
37,14.346938775510203,0.3512314107631612,1.5805288172095717
38,14.73469387755102,0.36268757376221267,1.5772589557059382
39,15.122448979591836,0.3744185529368144,1.5732064653040825
40,15.510204081632653,0.3864477518131233,1.5679586057027008
41,15.89795918367347,0.39880771995475717,1.5615068638121568
42,16.285714285714285,0.4115401529627955,1.554246953754481
43,16.6734693877551,0.4246958924757791,1.5469788168633714
44,17.06122448979592,0.43832437025843035,1.5400353244857654
45,17.448979591836736,0.4524612326062117,1.5323122029414722
46,17.83673469387755,0.46715668258952425,1.5232727863936861
47,18.224489795918366,0.4824750073597145,1.5127512249461157
48,18.612244897959183,0.4984945420208796,1.5009492270783624
49,19.0,0.5153076696298681,1.488436059645919
